Time [sec]		Acceleration [g]	Velocity [mm/sec]	Displacement [mm]
0.00000   		-0.00013        	0.00000          	0.00000          
0.00500   		-0.00011        	-0.00594         	-0.00002         
0.01000   		-0.00010        	-0.01115         	-0.00006         
0.01500   		-0.00009        	-0.01588         	-0.00013         
0.02000   		-0.00008        	-0.02016         	-0.00022         
0.02500   		-0.00007        	-0.02399         	-0.00033         
0.03000   		-0.00007        	-0.02756         	-0.00046         
0.03500   		-0.00007        	-0.03108         	-0.00060         
0.04000   		-0.00007        	-0.03467         	-0.00077         
0.04500   		-0.00008        	-0.03850         	-0.00095         
0.05000   		-0.00008        	-0.04259         	-0.00115         
0.05500   		-0.00007        	-0.04645         	-0.00137         
0.06000   		-0.00006        	-0.04962         	-0.00162         
0.06500   		-0.00005        	-0.05224         	-0.00187         
0.07000   		-0.00007        	-0.05515         	-0.00214         
0.07500   		-0.00009        	-0.05912         	-0.00242         
0.08000   		-0.00011        	-0.06413         	-0.00273         
0.08500   		-0.00014        	-0.07030         	-0.00307         
0.09000   		-0.00017        	-0.07780         	-0.00344         
0.09500   		-0.00015        	-0.08566         	-0.00385         
0.10000   		-0.00014        	-0.09297         	-0.00429         
0.10500   		-0.00015        	-0.10018         	-0.00477         
0.11000   		-0.00013        	-0.10703         	-0.00529         
0.11500   		-0.00005        	-0.11153         	-0.00584         
0.12000   		0.00002         	-0.11234         	-0.00640         
0.12500   		0.00006         	-0.11041         	-0.00696         
0.13000   		0.00008         	-0.10706         	-0.00750         
0.13500   		0.00008         	-0.10321         	-0.00803         
0.14000   		0.00001         	-0.10113         	-0.00854         
0.14500   		-0.00009        	-0.10320         	-0.00905         
0.15000   		-0.00014        	-0.10896         	-0.00958         
0.15500   		-0.00012        	-0.11547         	-0.01014         
0.16000   		0.00001         	-0.11825         	-0.01073         
0.16500   		0.00022         	-0.11262         	-0.01131         
0.17000   		0.00038         	-0.09780         	-0.01184         
0.17500   		0.00038         	-0.07912         	-0.01228         
0.18000   		0.00026         	-0.06345         	-0.01263         
0.18500   		0.00015         	-0.05339         	-0.01292         
0.19000   		0.00008         	-0.04788         	-0.01317         
0.19500   		0.00002         	-0.04562         	-0.01341         
0.20000   		-0.00006        	-0.04675         	-0.01364         
0.20500   		-0.00014        	-0.05167         	-0.01388         
0.21000   		-0.00019        	-0.05972         	-0.01416         
0.21500   		-0.00027        	-0.07103         	-0.01448         
0.22000   		-0.00024        	-0.08347         	-0.01487         
0.22500   		0.00001         	-0.08906         	-0.01531         
0.23000   		0.00020         	-0.08395         	-0.01574         
0.23500   		0.00022         	-0.07358         	-0.01614         
0.24000   		0.00015         	-0.06455         	-0.01648         
0.24500   		0.00001         	-0.06076         	-0.01679         
0.25000   		-0.00006        	-0.06208         	-0.01710         
0.25500   		-0.00014        	-0.06697         	-0.01742         
0.26000   		-0.00035        	-0.07894         	-0.01778         
0.26500   		-0.00042        	-0.09781         	-0.01822         
0.27000   		-0.00015        	-0.11176         	-0.01875         
0.27500   		0.00017         	-0.11127         	-0.01931         
0.28000   		0.00037         	-0.09801         	-0.01984         
0.28500   		0.00053         	-0.07605         	-0.02028         
0.29000   		0.00064         	-0.04756         	-0.02059         
0.29500   		0.00073         	-0.01413         	-0.02075         
0.30000   		0.00078         	0.02280          	-0.02073         
0.30500   		0.00063         	0.05730          	-0.02052         
0.31000   		0.00045         	0.08368          	-0.02017         
0.31500   		0.00043         	0.10528          	-0.01969         
0.32000   		0.00043         	0.12634          	-0.01911         
0.32500   		0.00030         	0.14424          	-0.01844         
0.33000   		0.00015         	0.15524          	-0.01768         
0.33500   		0.00014         	0.16222          	-0.01689         
0.34000   		0.00032         	0.17335          	-0.01605         
0.34500   		0.00051         	0.19362          	-0.01514         
0.35000   		0.00045         	0.21728          	-0.01411         
0.35500   		0.00001         	0.22856          	-0.01299         
0.36000   		-0.00074        	0.21063          	-0.01188         
0.36500   		-0.00141        	0.15794          	-0.01094         
0.37000   		-0.00176        	0.08016          	-0.01034         
0.37500   		-0.00196        	-0.01108         	-0.01016         
0.38000   		-0.00192        	-0.10613         	-0.01045         
0.38500   		-0.00147        	-0.18916         	-0.01120         
0.39000   		-0.00087        	-0.24660         	-0.01230         
0.39500   		-0.00036        	-0.27686         	-0.01362         
0.40000   		-0.00001        	-0.28589         	-0.01504         
0.40500   		0.00014         	-0.28266         	-0.01646         
0.41000   		0.00001         	-0.27894         	-0.01786         
0.41500   		-0.00007        	-0.28040         	-0.01926         
0.42000   		0.00006         	-0.28066         	-0.02066         
0.42500   		0.00017         	-0.27485         	-0.02206         
0.43000   		0.00021         	-0.26538         	-0.02341         
0.43500   		0.00058         	-0.24601         	-0.02469         
0.44000   		0.00148         	-0.19553         	-0.02582         
0.44500   		0.00254         	-0.09686         	-0.02657         
0.45000   		0.00334         	0.04751          	-0.02671         
0.45500   		0.00346         	0.21428          	-0.02606         
0.46000   		0.00262         	0.36336          	-0.02459         
0.46500   		0.00154         	0.46546          	-0.02250         
0.47000   		0.00088         	0.52468          	-0.02001         
0.47500   		0.00036         	0.55502          	-0.01730         
0.48000   		-0.00049        	0.55192          	-0.01452         
